Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-03-25 00:00:00+08:00,77.94999694824219,78.44999694824219,77.5999984741211,78.0,1232283,0.0,0.0,0.0
2024-03-26 00:00:00+08:00,78.9000015258789,79.69999694824219,76.5,77.5999984741211,2086000,0.0,0.0,0.0
2024-03-27 00:00:00+08:00,77.69999694824219,78.30000305175781,77.30000305175781,78.05000305175781,1357050,0.0,0.0,0.0
2024-03-28 00:00:00+08:00,77.80000305175781,78.0,76.80000305175781,77.69999694824219,1098030,0.0,0.0,0.0
2024-03-29 00:00:00+08:00,78.0999984741211,78.30000305175781,77.6500015258789,78.0999984741211,1135000,0.0,0.0,0.0
2024-04-01 00:00:00+08:00,78.80000305175781,79.1500015258789,78.1500015258789,78.30000305175781,1111032,0.0,0.0,0.0
2024-04-02 00:00:00+08:00,79.0,80.0,78.94999694824219,80.0,905850,0.0,0.0,0.0
2024-04-03 00:00:00+08:00,78.9000015258789,79.3499984741211,78.25,79.0,2231133,0.0,0.0,0.0
2024-04-08 00:00:00+08:00,79.0,80.0999984741211,79.0,79.69999694824219,914100,0.0,0.0,0.0
2024-04-09 00:00:00+08:00,80.25,82.9000015258789,80.25,82.8499984741211,2482650,0.0,0.0,0.0
2024-04-10 00:00:00+08:00,82.55000305175781,83.05000305175781,82.25,82.5999984741211,1423326,0.0,0.0,0.0
2024-04-11 00:00:00+08:00,81.6500015258789,82.0,81.1500015258789,81.9000015258789,1207075,0.0,0.0,0.0
2024-04-12 00:00:00+08:00,81.6500015258789,82.30000305175781,81.44999694824219,81.94999694824219,958225,0.0,0.0,0.0
2024-04-15 00:00:00+08:00,80.5999984741211,80.69999694824219,79.69999694824219,80.05000305175781,2315251,0.0,0.0,0.0
2024-04-16 00:00:00+08:00,78.1500015258789,78.30000305175781,74.5,75.55000305175781,5888685,0.0,0.0,0.0
2024-04-17 00:00:00+08:00,76.1500015258789,77.5,75.94999694824219,77.19999694824219,1655952,0.0,0.0,0.0
2024-04-18 00:00:00+08:00,76.1500015258789,78.19999694824219,75.8499984741211,78.0999984741211,1314560,0.0,0.0,0.0
2024-04-19 00:00:00+08:00,75.05000305175781,75.0999984741211,70.1500015258789,72.25,9286385,0.0,0.0,0.0
2024-04-22 00:00:00+08:00,72.0999984741211,73.1500015258789,71.4000015258789,71.8499984741211,2952450,0.0,0.0,0.0
2024-04-23 00:00:00+08:00,73.44999694824219,73.55000305175781,72.19999694824219,73.1500015258789,1784281,0.0,0.0,0.0
2024-04-24 00:00:00+08:00,75.1500015258789,77.0,75.1500015258789,76.8499984741211,2209661,0.0,0.0,0.0
2024-04-25 00:00:00+08:00,75.1500015258789,75.3499984741211,74.3499984741211,74.5999984741211,2010661,0.0,0.0,0.0
2024-04-26 00:00:00+08:00,76.44999694824219,77.44999694824219,76.0999984741211,76.69999694824219,1723610,0.0,0.0,0.0
2024-04-29 00:00:00+08:00,78.55000305175781,79.5999984741211,78.3499984741211,79.44999694824219,1940291,0.0,0.0,0.0
2024-04-30 00:00:00+08:00,79.5,79.75,78.94999694824219,78.94999694824219,1263980,0.0,0.0,0.0
2024-05-02 00:00:00+08:00,77.69999694824219,78.30000305175781,77.3499984741211,77.75,1171143,0.0,0.0,0.0
2024-05-03 00:00:00+08:00,79.55000305175781,79.75,77.75,78.1500015258789,1209045,0.0,0.0,0.0
2024-05-06 00:00:00+08:00,80.05000305175781,80.75,79.6500015258789,79.94999694824219,1736172,0.0,0.0,0.0
2024-05-07 00:00:00+08:00,81.0,81.05000305175781,79.5,80.3499984741211,1246814,0.0,0.0,0.0
2024-05-08 00:00:00+08:00,80.19999694824219,80.94999694824219,79.80000305175781,80.9000015258789,910123,0.0,0.0,0.0
2024-05-09 00:00:00+08:00,80.69999694824219,81.19999694824219,80.19999694824219,80.19999694824219,900487,0.0,0.0,0.0
2024-05-10 00:00:00+08:00,80.94999694824219,81.69999694824219,80.0999984741211,81.44999694824219,929999,0.0,0.0,0.0
2024-05-13 00:00:00+08:00,82.75,82.80000305175781,81.80000305175781,82.0999984741211,1522467,0.0,0.0,0.0
2024-05-14 00:00:00+08:00,82.30000305175781,83.19999694824219,82.0999984741211,83.1500015258789,926481,0.0,0.0,0.0
2024-05-15 00:00:00+08:00,84.4000015258789,86.0,84.30000305175781,84.75,2131010,0.0,0.0,0.0
2024-05-16 00:00:00+08:00,87.0,87.55000305175781,85.69999694824219,85.9000015258789,1814282,0.0,0.0,0.0
2024-05-17 00:00:00+08:00,85.9000015258789,86.30000305175781,85.3499984741211,85.69999694824219,1301208,0.0,0.0,0.0
2024-05-20 00:00:00+08:00,86.19999694824219,86.19999694824219,84.3499984741211,85.5999984741211,1943300,0.0,0.0,0.0
2024-05-21 00:00:00+08:00,85.3499984741211,85.75,84.4000015258789,85.3499984741211,1229500,0.0,0.0,0.0
2024-05-22 00:00:00+08:00,86.05000305175781,87.94999694824219,85.94999694824219,87.75,1307646,0.0,0.0,0.0
2024-05-23 00:00:00+08:00,87.8499984741211,88.3499984741211,86.94999694824219,87.9000015258789,1353500,0.0,0.0,0.0
2024-05-24 00:00:00+08:00,86.75,88.0999984741211,86.6500015258789,87.80000305175781,1094332,0.0,0.0,0.0
2024-05-27 00:00:00+08:00,89.0,90.44999694824219,89.0,90.05000305175781,1566400,0.0,0.0,0.0
