Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-25 00:00:00+08:00,81.39811079994927,83.69749246096478,81.39811079994927,82.31786346435547,6587944,0.0,0.0
2024-03-26 00:00:00+08:00,82.77773435501024,83.60551310199143,80.38637898818548,82.68576049804688,9607020,0.0,0.0
2024-03-27 00:00:00+08:00,83.60551768720092,88.75613114833642,82.31786256762808,87.92835235595703,18685916,0.0,0.0
2024-03-28 00:00:00+08:00,88.29624938964844,89.5839044300119,86.64069190673035,88.29624938964844,18140064,0.0,0.0
2024-03-29 00:00:00+08:00,89.12402901973486,89.12402901973486,83.69748723512531,86.73267364501953,10061000,0.0,0.0
2024-04-01 00:00:00+08:00,88.75612842456715,88.75612842456715,84.70921546602622,85.07711791992188,9170856,0.0,0.0
2024-04-02 00:00:00+08:00,85.07711861723213,86.64069528765951,84.89317089735445,85.53699493408203,6728520,0.0,0.0
2024-04-03 00:00:00+08:00,84.89316575426122,85.72093746071748,84.24933473938323,84.34130859375,4315190,0.0,0.0
2024-04-08 00:00:00+08:00,83.60551310199143,83.88143467288151,82.13391033911124,82.68576049804688,9345996,0.0,0.0
2024-04-09 00:00:00+08:00,82.13391272795035,83.42156079719918,82.04193185115626,82.5018081665039,4526680,0.0,0.0
2024-04-10 00:00:00+08:00,82.96168206893695,84.0653894039637,82.50180576696467,82.68576049804688,5268869,0.0,0.0
2024-04-11 00:00:00+08:00,83.3295844327908,85.07711578201462,82.96168198814017,83.6974868774414,5374709,0.0,0.0
2024-04-12 00:00:00+08:00,83.14563593627017,85.5369912782526,82.50180490990405,84.24933624267578,6799265,0.0,0.0
2024-04-15 00:00:00+08:00,84.24933552177549,85.35304283589237,83.05366136959306,83.78945922851562,8557334,0.0,0.0
2024-04-16 00:00:00+08:00,82.96167832003358,83.6055093239944,81.12217319526872,82.40982818603516,11805767,0.0,0.0
2024-04-17 00:00:00+08:00,82.77773782345763,85.07711942966479,82.68576396264051,84.98514556884766,6760999,0.0,0.0
2024-04-18 00:00:00+08:00,83.69748776776568,85.26106440271886,82.1339111328125,82.1339111328125,7847997,0.0,0.0
2024-04-19 00:00:00+08:00,81.21415870593265,83.51354024327891,79.28267260083732,81.5820541381836,14734211,0.0,0.0
2024-04-22 00:00:00+08:00,81.49007739140967,83.14563484647398,79.65057222674058,79.74254608154297,9205696,0.0,0.0
2024-04-23 00:00:00+08:00,79.92650791975007,80.84626058391945,77.62712625932663,78.27095031738281,7774681,0.0,0.0
2024-04-24 00:00:00+08:00,79.6505691013126,79.83452382085446,78.73081655506844,79.46662139892578,3182332,0.0,0.0
2024-04-25 00:00:00+08:00,78.36292107211611,78.73082352662226,77.7190970395971,77.99502563476562,5224705,0.0,0.0
2024-04-26 00:00:00+08:00,78.36292418036855,80.38638425183476,77.81107398529812,78.27095031738281,7524318,0.0,0.0
2024-04-29 00:00:00+08:00,78.73082867206541,79.92650997306508,78.73082867206541,79.65058135986328,4272623,0.0,0.0
2024-04-30 00:00:00+08:00,79.65057347963527,81.5820525294887,79.09872332498507,81.21415710449219,4981966,0.0,0.0
2024-05-02 00:00:00+08:00,80.66230290511335,83.42156079719918,79.74255027441808,82.5018081665039,6573470,0.0,0.0
2024-05-03 00:00:00+08:00,83.14564108824909,84.709217788734,83.05366722654219,84.43329620361328,5785645,0.0,0.0
2024-05-06 00:00:00+08:00,84.43329620361328,84.709217788734,83.05366722654219,84.43329620361328,5655245,0.0,0.0
2024-05-07 00:00:00+08:00,84.98514475729328,85.53699493408203,84.15736598353232,85.53699493408203,6008684,0.0,0.0
2024-05-08 00:00:00+08:00,85.99686902331472,85.99686902331472,83.42155890880244,85.1690902709961,4187514,0.0,0.0
2024-05-09 00:00:00+08:00,83.9734117523784,84.61723573918404,81.3061279180383,82.40982818603516,5949089,0.0,0.0
2024-05-10 00:00:00+08:00,82.2258840378271,85.53699200222404,81.94995545031257,84.70921325683594,7668072,0.0,0.0
2024-05-13 00:00:00+08:00,84.70921181503535,84.70921181503535,82.9616804972168,83.78945922851562,3761409,0.0,0.0
2024-05-14 00:00:00+08:00,83.51353625549929,83.60551010917027,81.85797882080078,81.85797882080078,4061458,0.0,0.0
2024-05-15 00:00:00+08:00,82.7777369907924,83.23761330740793,80.11045295099129,80.47835540771484,4966159,0.0,0.0
2024-05-16 00:00:00+08:00,81.39810661360019,81.39810661360019,79.55860137939453,79.55860137939453,6823066,0.0,0.0
2024-05-17 00:00:00+08:00,79.65057514278199,81.1221779249622,78.45490095226613,80.57032775878906,9750114,0.0,0.0
